competitorId,competitorName,firstName,lastName,status,gender,countryOfOriginCode,countryOfOriginName,regionId,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,genderId,year
310970,Saxon Panchik,Saxon,Panchik,ACT,M,US,United States,31,North America,19593,CrossFit East Nashville,26,69 in,180 lb,1,25,1,2022
1454081,Matt Poulin,Matt,Poulin,ACT,M,US,United States,31,North America,1526,CrossFit Complete,26,70 in,195 lb,2,28,1,2022
811708,Justin Medeiros,Justin,Medeiros,ACT,M,US,United States,31,North America,1792,CrossFit Fort Vancouver,23,68 in,190 lb,3,31,1,2022
676693,Colten Mertens,Colten,Mertens,ACT,M,US,United States,31,North America,1324,CrossFit Kilo,24,64 in,185 lb,4,35,1,2022
879211,Phil Toon,Phil,Toon,ACT,M,US,United States,31,North America,1893,CrossFit Naples,24,70 in,195 lb,5,38,1,2022
935580,Victor Ljungdal,Victor,Ljungdal,ACT,M,SE,Sweden,29,Europe,26251,Mölndal SuperB CrossFit,26,172 cm,85 kg,6,46,1,2022
156156,Jay Crouch,Jay,Crouch,ACT,M,AU,Australia,32,Oceania,1348,Reebok CrossFit Frankston,23,175 cm,85 kg,7,53,1,2022
534247,Scott Tetlow,Scott,Tetlow,ACT,M,US,United States,31,North America,1313,Finish Strong CrossFit,29,63 in,175 lb,8,72,1,2022
493511,Cédric Lapointe,Cédric,Lapointe,ACT,M,CA,Canada,31,North America,10570,CrossFit 819,25,69 in,187 lb,9,85,1,2022
